HDR,ROLLING SYSTEM DEMAND
VD,20200226000000,27342
VD,20200226000500,27469
VD,20200226001000,27458
VD,20200226001500,27476
VD,20200226002000,27504
VD,20200226002500,27415
VD,20200226003000,27327
VD,20200226003500,27562
VD,20200226004000,27697
VD,20200226004500,27700
VD,20200226005000,27768
VD,20200226005500,27694
VD,20200226010000,27569
VD,20200226010500,27487
VD,20200226011000,27443
VD,20200226011500,27358
VD,20200226012000,27314
VD,20200226012500,27211
VD,20200226013000,27164
VD,20200226013500,27248
VD,20200226014000,27341
VD,20200226014500,27374
VD,20200226015000,27337
VD,20200226015500,27292
VD,20200226020000,27331
VD,20200226020500,27297
VD,20200226021000,27226
VD,20200226021500,27173
VD,20200226022000,27171
VD,20200226022500,27202
VD,20200226023000,27245
VD,20200226023500,27291
VD,20200226024000,27433
VD,20200226024500,27510
VD,20200226025000,27479
VD,20200226025500,27454
VD,20200226030000,27446
VD,20200226030500,27539
VD,20200226031000,27546
VD,20200226031500,27486
VD,20200226032000,27394
VD,20200226032500,27337
VD,20200226033000,27299
VD,20200226033500,27438
VD,20200226034000,27489
VD,20200226034500,27496
VD,20200226035000,27442
VD,20200226035500,27449
VD,20200226040000,27400
VD,20200226040500,27282
VD,20200226041000,27220
VD,20200226041500,27240
VD,20200226042000,27291
VD,20200226042500,27271
VD,20200226043000,27326
VD,20200226043500,27410
VD,20200226044000,27568
VD,20200226044500,27586
VD,20200226045000,27610
VD,20200226045500,27509
VD,20200226050000,27428
VD,20200226050500,27513
VD,20200226051000,27558
VD,20200226051500,27534
VD,20200226052000,27591
VD,20200226052500,27708
VD,20200226053000,27866
VD,20200226053500,28037
VD,20200226054000,28311
VD,20200226054500,28577
VD,20200226055000,28666
VD,20200226055500,28787
VD,20200226060000,29023
VD,20200226060500,30002
VD,20200226061000,30403
VD,20200226061500,30961
VD,20200226062000,31488
VD,20200226062500,32092
VD,20200226063000,32658
VD,20200226063500,33275
VD,20200226064000,33817
VD,20200226064500,34260
VD,20200226065000,34602
VD,20200226065500,34819
VD,20200226070000,35259
VD,20200226070500,35828
VD,20200226071000,36595
VD,20200226071500,37094
VD,20200226072000,37258
VD,20200226072500,37452
